tic,angle,health,momx,momy,weapon,ray0,ray1,ray2,ray3,ray4,ray5,ray6,ray7,ray8,ray9,ray10,ray11,ray12,ray13,ray14,ray15,m0_dx,m0_dy,m0_present,m1_dx,m1_dy,m1_present,m2_dx,m2_dy,m2_present,last_fwd,last_side,last_turn,last_fire,last_use,cmd_fwd,cmd_side,cmd_turn,cmd_buttons
2423,0.7422,84,-0.10,1.19,1.00,489.2,221.5,442.5,328.7,73.1,74.2,81.0,107.2,1185.3,258.3,135.1,118.6,119.1,364.2,462.7,443.2,192.0,10.2,1.0,-426.3,-17.7,1.0,-701.6,368.3,1.0,1.0,1.0,2.0,1.0,0.0,0,0,0,0
2424,0.7422,84,-0.09,1.08,1.00,490.3,222.8,442.7,328.8,73.2,73.9,80.7,106.8,1184.2,258.1,134.6,118.1,119.0,364.1,462.5,444.5,193.2,10.3,1.0,-425.1,-17.5,1.0,-700.5,368.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
2425,0.7422,84,-0.08,0.98,1.00,491.4,223.9,442.8,328.9,73.3,73.7,80.4,106.4,1183.1,257.8,134.1,117.7,118.9,364.0,462.4,445.7,194.9,10.5,1.0,-416.0,-17.0,1.0,-699.4,368.6,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
2426,0.7422,84,-0.07,0.89,1.00,492.4,224.9,442.9,328.9,73.4,73.4,80.2,106.1,1182.2,257.5,133.6,117.2,118.8,363.9,462.3,446.8,196.4,10.7,1.0,-415.1,-16.9,1.0,-690.4,369.1,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,1
2427,0.7422,84,-0.07,0.80,1.00,493.3,225.9,443.0,329.0,73.5,73.2,79.9,105.8,1181.3,257.3,133.2,116.9,118.7,363.8,462.2,447.8,197.8,10.8,1.0,-414.2,-16.7,1.0,-689.5,369.2,1.0,1.0,1.0,2.0,1.0,0.0,0,0,0,1
2428,0.7422,84,-0.06,0.73,1.00,494.1,226.8,443.1,329.1,73.5,73.0,79.8,105.5,1180.6,257.1,132.9,116.6,118.7,363.8,462.1,448.7,191.1,10.5,1.0,-413.4,-16.6,1.0,-688.7,369.3,1.0,1.0,1.0,2.0,1.0,0.0,0,0,0,1
2429,0.7422,84,-0.05,0.66,1.00,494.8,227.5,443.2,329.2,73.6,72.8,79.6,105.3,1179.9,256.9,132.5,116.3,118.6,363.7,462.0,449.5,192.2,10.7,1.0,-404.7,-16.2,1.0,-680.0,369.8,1.0,1.0,1.0,2.0,1.0,0.0,0,0,0,0
2430,0.7422,84,-0.05,0.60,1.00,495.5,228.2,443.3,329.2,73.7,72.7,79.4,105.1,1179.2,256.8,132.2,116.0,118.6,363.6,462.0,450.2,193.3,10.8,1.0,-404.0,-16.1,1.0,-679.4,369.9,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
2431,0.7422,84,-0.04,0.54,1.00,496.1,228.8,443.4,329.3,73.7,72.5,79.2,104.8,1178.7,256.6,132.0,115.8,118.5,363.6,461.9,450.8,186.2,10.5,1.0,-403.4,-16.0,1.0,-678.8,370.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
2432,0.7422,84,-0.04,0.49,1.00,496.6,229.4,443.4,329.3,73.8,72.4,79.1,104.7,1178.2,256.5,131.7,115.6,118.5,363.5,461.8,451.4,187.1,10.6,1.0,-402.9,-15.9,1.0,-672.2,364.6,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,1
2433,0.7422,84,-0.04,0.44,1.00,497.1,229.9,443.5,329.4,73.8,72.3,79.0,104.5,1177.7,256.4,131.5,115.4,118.4,363.5,461.8,452.0,187.8,10.6,1.0,-394.4,-15.5,1.0,-671.7,364.7,1.0,1.0,1.0,2.0,1.0,0.0,0,0,0,1
2434,0.7422,84,-0.03,0.40,1.00,497.6,230.4,443.6,329.4,73.8,72.2,78.8,104.3,1177.3,256.3,131.3,115.2,118.4,363.4,461.7,452.5,180.5,10.3,1.0,-394.0,-15.4,1.0,-671.3,364.7,1.0,1.0,1.0,2.0,1.0,0.0,0,0,0,0
2435,0.7422,84,-0.03,0.37,1.00,498.0,230.8,443.6,329.5,73.9,72.1,78.7,104.2,1176.9,256.2,131.1,115.1,118.3,363.4,461.7,452.9,181.2,10.4,1.0,-393.6,-15.3,1.0,-664.9,359.3,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
2436,0.7422,84,-0.03,0.33,1.00,498.3,231.2,443.7,329.5,73.9,72.0,78.7,104.1,1176.6,256.1,130.9,114.9,118.3,363.4,461.7,276.2,181.8,10.4,1.0,-393.2,-15.3,1.0,-664.5,359.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
2437,0.7422,84,-0.02,0.30,1.00,498.7,231.6,443.7,329.5,73.9,71.9,78.6,104.0,1176.2,256.0,130.8,114.8,118.3,363.3,461.6,276.1,174.3,10.1,1.0,-384.9,-14.9,1.0,-664.2,359.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,1
2438,0.7422,84,-0.02,0.27,1.00,499.0,231.9,443.7,329.6,73.9,71.8,78.5,103.9,1176.0,255.9,130.7,114.7,118.2,363.3,461.6,276.1,174.8,10.2,1.0,-384.6,-14.8,1.0,-657.9,354.0,1.0,1.0,1.0,2.0,1.0,0.0,0,0,0,1
2439,0.7422,84,-0.02,0.25,1.00,499.2,232.2,443.8,329.6,74.0,71.8,78.4,103.8,1175.7,255.9,130.5,114.6,118.1,363.3,461.6,276.0,175.2,10.2,1.0,-384.3,-14.8,1.0,-657.6,354.1,1.0,1.0,1.0,2.0,1.0,0.0,0,0,0,0
